slug,score,critical,high,medium,low,info,ai_authored_percent,url,report_html,report_json,notes
ArnasDon-wacrm,100,0,0,0,0,2,11.1,https://github.com/ArnasDon/wacrm.git,ArnasDon-wacrm.html,ArnasDon-wacrm.json,
mui-toolpad,81,1,0,2,0,10,10.7,https://github.com/mui/toolpad.git,mui-toolpad.html,mui-toolpad.json,
liyupi-ai-guide,98,0,0,1,1,0,98.9,https://github.com/liyupi/ai-guide.git,liyupi-ai-guide.html,liyupi-ai-guide.json,
mcp-use-mcp-use,25,1,16,23,5,11,11.3,https://github.com/mcp-use/mcp-use.git,mcp-use-mcp-use.html,mcp-use-mcp-use.json,
777genius-agent-teams-ai,56,12,0,2,0,64,10.5,https://github.com/777genius/agent-teams-ai.git,777genius-agent-teams-ai.html,777genius-agent-teams-ai.json,
stripe-ai,100,0,0,0,0,27,0.7,https://github.com/stripe/ai.git,stripe-ai.html,stripe-ai.json,
InsForge-InsForge,25,2,9,0,4,54,20.5,https://github.com/InsForge/InsForge.git,InsForge-InsForge.html,InsForge-InsForge.json,
saas-js-saas-ui,84,0,1,5,0,2,20.6,https://github.com/saas-js/saas-ui.git,saas-js-saas-ui.html,saas-js-saas-ui.json,
steedos-steedos-platform,0,0,93,13,2,38,20.2,https://github.com/steedos/steedos-platform.git,steedos-steedos-platform.html,steedos-steedos-platform.json,
zeon-studio-hugoplate,100,0,0,0,0,0,10.4,https://github.com/zeon-studio/hugoplate.git,zeon-studio-hugoplate.html,zeon-studio-hugoplate.json,
open-mercato-open-mercato,11,3,32,44,1,103,10.2,https://github.com/open-mercato/open-mercato.git,open-mercato-open-mercato.html,open-mercato-open-mercato.json,
teableio-teable,50,1,91,5,1,279,100,https://github.com/teableio/teable.git,teableio-teable.html,teableio-teable.json,
codeaholicguy-ai-devkit,98,0,0,1,0,0,0.2,https://github.com/codeaholicguy/ai-devkit.git,codeaholicguy-ai-devkit.html,codeaholicguy-ai-devkit.json,
nextify-limited-saasfly,95,0,0,1,6,1,0,https://github.com/nextify-limited/saasfly.git,nextify-limited-saasfly.html,nextify-limited-saasfly.json,
rowboatlabs-rowboat,47,0,5,30,4,1,99.9,https://github.com/rowboatlabs/rowboat.git,rowboatlabs-rowboat.html,rowboatlabs-rowboat.json,
thedotmack-claude-mem,0,5,16,9,1,13,100,https://github.com/thedotmack/claude-mem.git,thedotmack-claude-mem.html,thedotmack-claude-mem.json,
automatisch-automatisch,82,0,3,0,0,2,0,https://github.com/automatisch/automatisch.git,automatisch-automatisch.html,automatisch-automatisch.json,
lissy93-domain-locker,94,0,1,0,1,0,0.1,https://github.com/lissy93/domain-locker.git,lissy93-domain-locker.html,lissy93-domain-locker.json,
alan345-AI-Fullstack-SaaS-Boilerplate,100,0,0,0,0,0,0,https://github.com/alan345/AI-Fullstack-SaaS-Boilerplate.git,alan345-AI-Fullstack-SaaS-Boilerplate.html,alan345-AI-Fullstack-SaaS-Boilerplate.json,
nextacular-nextacular,73,0,5,1,0,0,20,https://github.com/nextacular/nextacular.git,nextacular-nextacular.html,nextacular-nextacular.json,
chibat-chrome-extension-typescript-starter,100,0,0,0,1,0,0,https://github.com/chibat/chrome-extension-typescript-starter.git,chibat-chrome-extension-typescript-starter.html,chibat-chrome-extension-typescript-starter.json,
EtienneLescot-n8n-as-code,39,9,1,18,0,4,0.1,https://github.com/EtienneLescot/n8n-as-code.git,EtienneLescot-n8n-as-code.html,EtienneLescot-n8n-as-code.json,
inkeep-agents,13,2,8,42,3,125,20.1,https://github.com/inkeep/agents.git,inkeep-agents.html,inkeep-agents.json,
Prismer-AI-PrismerCloud,0,6,15,134,4,130,100,https://github.com/Prismer-AI/PrismerCloud.git,Prismer-AI-PrismerCloud.html,Prismer-AI-PrismerCloud.json,
langfuse-langfuse,55,0,6,4,3,71,10.3,https://github.com/langfuse/langfuse.git,langfuse-langfuse.html,langfuse-langfuse.json,
mugnavo-tanstarter,100,0,0,0,0,0,0,https://github.com/mugnavo/tanstarter.git,mugnavo-tanstarter.html,mugnavo-tanstarter.json,
ixartz-Next-JS-Landing-Page-Starter-Template,69,0,6,3,1,0,0,https://github.com/ixartz/Next-JS-Landing-Page-Starter-Template.git,ixartz-Next-JS-Landing-Page-Starter-Template.html,ixartz-Next-JS-Landing-Page-Starter-Template.json,
ReactJSResources-react-webpack-babel,100,0,0,0,1,0,0,https://github.com/ReactJSResources/react-webpack-babel.git,ReactJSResources-react-webpack-babel.html,ReactJSResources-react-webpack-babel.json,
onlook-dev-onlook,58,0,4,16,2,12,99.9,https://github.com/onlook-dev/onlook.git,onlook-dev-onlook.html,onlook-dev-onlook.json,
TanStack-ai,66,0,8,2,18,19,21.3,https://github.com/TanStack/ai.git,TanStack-ai.html,TanStack-ai.json,
caliber-ai-org-ai-setup,86,0,0,7,0,24,30.1,https://github.com/caliber-ai-org/ai-setup.git,caliber-ai-org-ai-setup.html,caliber-ai-org-ai-setup.json,
skalesapp-skales,6,2,15,2,13,0,0.5,https://github.com/skalesapp/skales.git,skalesapp-skales.html,skalesapp-skales.json,
tegojs-tego,54,3,1,0,0,27,10.1,https://github.com/tegojs/tego.git,tegojs-tego.html,tegojs-tego.json,
keinsaasforever-better-chatbot,63,1,2,5,0,6,0.6,https://github.com/keinsaasforever/better-chatbot.git,keinsaasforever-better-chatbot.html,keinsaasforever-better-chatbot.json,
TencentCloudBase-CloudBase-AI-Toolkit,36,4,4,0,0,28,30.4,https://github.com/TencentCloudBase/CloudBase-AI-Toolkit.git,TencentCloudBase-CloudBase-AI-Toolkit.html,TencentCloudBase-CloudBase-AI-Toolkit.json,
ThinkInAIXYZ-deepchat,8,4,5,0,5,36,10.2,https://github.com/ThinkInAIXYZ/deepchat.git,ThinkInAIXYZ-deepchat.html,ThinkInAIXYZ-deepchat.json,
lmnr-ai-lmnr,86,0,2,1,1,9,10.2,https://github.com/lmnr-ai/lmnr.git,lmnr-ai-lmnr.html,lmnr-ai-lmnr.json,
hexabot-ai-Hexabot,33,2,7,0,0,4,0.4,https://github.com/hexabot-ai/Hexabot.git,hexabot-ai-Hexabot.html,hexabot-ai-Hexabot.json,
Team-Commonly-commonly,0,1,86,53,4,73,100,https://github.com/Team-Commonly/commonly.git,Team-Commonly-commonly.html,Team-Commonly-commonly.json,
koala73-worldmonitor,0,19,28,66,13,55,2.3,https://github.com/koala73/worldmonitor.git,koala73-worldmonitor.html,koala73-worldmonitor.json,
CopilotKit-CopilotKit,55,0,31,24,10,164,30.4,https://github.com/CopilotKit/CopilotKit.git,CopilotKit-CopilotKit.html,CopilotKit-CopilotKit.json,
nanobrowser-nanobrowser,99,0,0,0,2,0,11.5,https://github.com/nanobrowser/nanobrowser.git,nanobrowser-nanobrowser.html,nanobrowser-nanobrowser.json,
devtodollars-mvp-boilerplate,92,0,1,1,0,0,20.3,https://github.com/devtodollars/mvp-boilerplate.git,devtodollars-mvp-boilerplate.html,devtodollars-mvp-boilerplate.json,
shadcnstore-shadcn-dashboard-landing-template,98,0,0,1,0,1,0.1,https://github.com/shadcnstore/shadcn-dashboard-landing-template.git,shadcnstore-shadcn-dashboard-landing-template.html,shadcnstore-shadcn-dashboard-landing-template.json,
openops-cloud-openops,45,1,17,1,3,6,99.9,https://github.com/openops-cloud/openops.git,openops-cloud-openops.html,openops-cloud-openops.json,
rohitg00-agentmemory,81,1,0,2,0,23,0.2,https://github.com/rohitg00/agentmemory.git,rohitg00-agentmemory.html,rohitg00-agentmemory.json,
agentset-ai-agentset,90,0,0,5,0,0,20.2,https://github.com/agentset-ai/agentset.git,agentset-ai-agentset.html,agentset-ai-agentset.json,
withkynam-vibecode-pro-max-kit,82,0,3,0,0,4,30,https://github.com/withkynam/vibecode-pro-max-kit.git,withkynam-vibecode-pro-max-kit.html,withkynam-vibecode-pro-max-kit.json,
logto-io-logto,22,4,5,4,0,42,0.4,https://github.com/logto-io/logto.git,logto-io-logto.html,logto-io-logto.json,
creativetimofficial-ui,57,1,9,1,3,2,0,https://github.com/creativetimofficial/ui.git,creativetimofficial-ui.html,creativetimofficial-ui.json,
NextJSTemplates-startup-nextjs,98,0,0,1,0,0,0,https://github.com/NextJSTemplates/startup-nextjs.git,NextJSTemplates-startup-nextjs.html,NextJSTemplates-startup-nextjs.json,
saasforge-open-source-saas-boilerpate,98,0,0,1,1,2,0,https://github.com/saasforge/open-source-saas-boilerpate.git,saasforge-open-source-saas-boilerpate.html,saasforge-open-source-saas-boilerpate.json,
GreatStackDev-gocart,98,0,0,1,0,0,0,https://github.com/GreatStackDev/gocart.git,GreatStackDev-gocart.html,GreatStackDev-gocart.json,
Deodat-Lawson-LaunchStack,95,0,0,2,2,1,0.3,https://github.com/Deodat-Lawson/LaunchStack.git,Deodat-Lawson-LaunchStack.html,Deodat-Lawson-LaunchStack.json,
apify-apify-mcp-server,,,,,,,,https://github.com/apify/apify-mcp-server.git,,,scan-failed: exit 1
guanyang-open-agent-hub,76,0,4,0,0,0,10.2,https://github.com/guanyang/open-agent-hub.git,guanyang-open-agent-hub.html,guanyang-open-agent-hub.json,
atlassian-atlassian-mcp-server,100,0,0,0,0,0,0,https://github.com/atlassian/atlassian-mcp-server.git,atlassian-atlassian-mcp-server.html,atlassian-atlassian-mcp-server.json,
nuwax-ai-nuwax,73,1,0,5,4,12,33.4,https://github.com/nuwax-ai/nuwax.git,nuwax-ai-nuwax.html,nuwax-ai-nuwax.json,
alibaba-page-agent,90,0,1,1,4,1,17.8,https://github.com/alibaba/page-agent.git,alibaba-page-agent.html,alibaba-page-agent.json,
apptension-saas-boilerplate,50,3,0,5,0,1,11.2,https://github.com/apptension/saas-boilerplate.git,apptension-saas-boilerplate.html,apptension-saas-boilerplate.json,
agustinusnathaniel-nextarter-chakra,,,,,,,,https://github.com/agustinusnathaniel/nextarter-chakra.git,,,scan-failed: exit 1
imbhargav5-nextbase-nextjs-supabase-starter,98,0,0,1,0,0,0,https://github.com/imbhargav5/nextbase-nextjs-supabase-starter.git,imbhargav5-nextbase-nextjs-supabase-starter.html,imbhargav5-nextbase-nextjs-supabase-starter.json,
guasam-electron-react-app,73,0,8,1,1,0,0,https://github.com/guasam/electron-react-app.git,guasam-electron-react-app.html,guasam-electron-react-app.json,
ecronix-react-most-wanted,1,4,12,5,1,0,0.3,https://github.com/ecronix/react-most-wanted.git,ecronix-react-most-wanted.html,ecronix-react-most-wanted.json,
KolbySisk-next-supabase-stripe-starter,98,0,0,1,0,0,0,https://github.com/KolbySisk/next-supabase-stripe-starter.git,KolbySisk-next-supabase-stripe-starter.html,KolbySisk-next-supabase-stripe-starter.json,
weijunext-nextjs-starter,98,0,0,1,0,0,0,https://github.com/weijunext/nextjs-starter.git,weijunext-nextjs-starter.html,weijunext-nextjs-starter.json,
PawanOsman-OpenCursor,99,0,0,0,2,0,3.4,https://github.com/PawanOsman/OpenCursor.git,PawanOsman-OpenCursor.html,PawanOsman-OpenCursor.json,
chatboxai-chatbox,41,1,10,4,12,20,10.6,https://github.com/chatboxai/chatbox.git,chatboxai-chatbox.html,chatboxai-chatbox.json,
revokslab-ShipFree,96,0,0,2,0,0,99.9,https://github.com/revokslab/ShipFree.git,revokslab-ShipFree.html,revokslab-ShipFree.json,
Marve10s-Better-Fullstack,17,4,12,0,1,13,24.8,https://github.com/Marve10s/Better-Fullstack.git,Marve10s-Better-Fullstack.html,Marve10s-Better-Fullstack.json,
Blazity-enterprise-commerce,94,0,0,3,1,0,0,https://github.com/Blazity/enterprise-commerce.git,Blazity-enterprise-commerce.html,Blazity-enterprise-commerce.json,
arhamkhnz-next-shadcn-admin-dashboard,98,0,0,1,0,0,0.2,https://github.com/arhamkhnz/next-shadcn-admin-dashboard.git,arhamkhnz-next-shadcn-admin-dashboard.html,arhamkhnz-next-shadcn-admin-dashboard.json,
moinulmoin-chadnext,98,0,0,1,0,0,30,https://github.com/moinulmoin/chadnext.git,moinulmoin-chadnext.html,moinulmoin-chadnext.json,
buildship-ai-rowy,94,0,1,0,0,9,0.8,https://github.com/buildship-ai/rowy.git,buildship-ai-rowy.html,buildship-ai-rowy.json,
nextjs-saas-starter,96,0,0,2,0,1,0,https://github.com/nextjs/saas-starter.git,nextjs-saas-starter.html,nextjs-saas-starter.json,
